ID,Theme,Question_English,Question_RomanUrdu,Short_Answer_English,Detailed_Answer_English,Risk_Level,Source,Helpline
KB0040,Nutrition & Physical Health,Can alcohol affect periods?,Can alcohol affect periods ?,Alcohol can affect hormones and general health; adolescents should avoid alcohol.,Alcohol can affect hormones and general health; adolescents should avoid alcohol. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0041,Nutrition & Physical Health,How to maintain hygiene with limited resources?,How to maintain hygiene with limited resources ?,"Use clean water, wash reusable materials thoroughly, and dry them in sun when possible.","Use clean water, wash reusable materials thoroughly, and dry them in sun when possible. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0042,Nutrition & Physical Health,How to manage heavy bleeding at home?,How to manage heavy bleeding at home ?,"Rest, use pads, stay hydrated, and seek medical care if bleeding is very heavy or prolonged.","Rest, use pads, stay hydrated, and seek medical care if bleeding is very heavy or prolonged. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0043,Reproductive Health & Pregnancy Basics,Can adolescents get pregnant?,Can adolescents get pregnant ?,"Yes, if they have unprotected sex. Pregnancy can happen even on the first sexual contact.","Yes, if they have unprotected sex. Pregnancy can happen even on the first sexual contact. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0044,Reproductive Health & Pregnancy Basics,What is contraception?,What is contraception ?,"Contraception includes methods to prevent pregnancy: condoms, pills, IUDs, etc.; some require a doctor.","Contraception includes methods to prevent pregnancy: condoms, pills, IUDs, etc.; some require a doctor. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0045,Reproductive Health & Pregnancy Basics,Are emergency contraceptives safe?,Are emergency contraceptives safe ?,Emergency pills can be used after unprotected sex; consult a pharmacist or doctor for correct use.,Emergency pills can be used after unprotected sex; consult a pharmacist or doctor for correct use. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0046,Reproductive Health & Pregnancy Basics,Can a girl get pregnant during her period?,Can a girl get pregnant during her period ?,Less likely but possible if cycles are irregular; sperm can survive and fertilize an egg later.,Less likely but possible if cycles are irregular; sperm can survive and fertilize an egg later. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0047,Reproductive Health & Pregnancy Basics,What happens during early pregnancy?,What happens during early pregnancy ?,"Missed periods, nausea, tiredness; confirm with a pregnancy test and consult a healthcare provider.","Missed periods, nausea, tiredness; confirm with a pregnancy test and consult a healthcare provider. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0048,Reproductive Health & Pregnancy Basics,Is abortion legal and safe?,Is abortion legal and safe ?,Laws vary and unsafe abortions are dangerous. Seek qualified medical advice and support services.,Laws vary and unsafe abortions are dangerous. Seek qualified medical advice and support services. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0049,Reproductive Health & Pregnancy Basics,How to talk about family planning?,How to talk about family planning ?,Discuss with a trusted adult or health professional; clinics provide confidential counseling.,Discuss with a trusted adult or health professional; clinics provide confidential counseling. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0050,Reproductive Health & Pregnancy Basics,Can contraceptives affect future fertility?,Can contraceptives affect future fertility ?,Most reversible contraceptives do not affect long-term fertility once stopped; consult a doctor.,Most reversible contraceptives do not affect long-term fertility once stopped; consult a doctor. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0051,Reproductive Health & Pregnancy Basics,What services are confidential for adolescents?,What services are confidential for adolescents ?,Many clinics offer confidential counseling; ask about privacy policies or use telehealth options.,Many clinics offer confidential counseling; ask about privacy policies or use telehealth options. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0052,Reproductive Health & Pregnancy Basics,Why is teenage pregnancy risky?,Why is teenage pregnancy risky ?,"Higher health risks for mother and baby, school dropout, and social challenges; support and counseling help.","Higher health risks for mother and baby, school dropout, and social challenges; support and counseling help. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0053,STIs & Safe Practices,What are common STIs?,What are common STIs ?,"Common STIs include chlamydia, gonorrhea, syphilis, HIV, herpes, and HPV.","Common STIs include chlamydia, gonorrhea, syphilis, HIV, herpes, and HPV. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0054,STIs & Safe Practices,How to prevent STIs?,How to prevent STIs ?,"Use condoms correctly, limit partners, get vaccinated (HPV, Hep B), and test regularly.","Use condoms correctly, limit partners, get vaccinated (HPV, Hep B), and test regularly. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0055,STIs & Safe Practices,Where to get tested in Pakistan?,Where to get tested in Pakistan ?,"Government hospitals, NGO clinics, and telehealth services like Sehat Kahani offer testing and counseling.","Government hospitals, NGO clinics, and telehealth services like Sehat Kahani offer testing and counseling. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0056,STIs & Safe Practices,Can STIs go away on their own?,Can STIs go away on their own ?,Some bacterial STIs can be cured with medicines; viral STIs may be managed but not cured.,Some bacterial STIs can be cured with medicines; viral STIs may be managed but not cured. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0057,STIs & Safe Practices,What are signs of an STI?,What are signs of an STI ?,"Unusual discharge, sores, burning during urination, itching; but many cases have no symptoms.","Unusual discharge, sores, burning during urination, itching; but many cases have no symptoms. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0058,STIs & Safe Practices,Can antibiotics treat all STIs?,Can antibiotics treat all STIs ?,Antibiotics treat bacterial STIs; viruses like HIV need specific antiviral treatments.,Antibiotics treat bacterial STIs; viruses like HIV need specific antiviral treatments. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0059,STIs & Safe Practices,Is HIV test confidential?,Is HIV test confidential ?,"Yes, most clinics maintain confidentiality; ask about privacy before testing.","Yes, most clinics maintain confidentiality; ask about privacy before testing. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0060,STIs & Safe Practices,Can condoms protect against HPV?,Can condoms protect against HPV ?,Condoms reduce but do not eliminate HPV risk because it spreads via skin contact.,Condoms reduce but do not eliminate HPV risk because it spreads via skin contact. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0061,STIs & Safe Practices,What to do after sexual assault?,What to do after sexual assault ?,Seek medical care immediately for injuries and possible prophylactic treatment; report and seek support.,Seek medical care immediately for injuries and possible prophylactic treatment; report and seek support. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0062,STIs & Safe Practices,How often should sexually active adolescents get tested?,How often should sexually active adolescents get tested ?,"At least once a year, or more if multiple partners or symptoms.","At least once a year, or more if multiple partners or symptoms. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0063,STIs & Safe Practices,Can STIs be passed to newborns?,Can STIs be passed to newborns ?,"Yes, some STIs can affect newborns; pregnant women should be tested and treated.","Yes, some STIs can affect newborns; pregnant women should be tested and treated. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0064,STIs & Safe Practices,What is PrEP for HIV?,What is PrEP for HIV ?,Pre-exposure prophylaxis (PrEP) prevents HIV infection for high-risk individuals when prescribed by a doctor.,Pre-exposure prophylaxis (PrEP) prevents HIV infection for high-risk individuals when prescribed by a doctor. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0065,Harassment & Consent,What is consent?,What is consent ?,"Consent means freely agreeing to activity. If someone is pressured or forced, it is not consent.","Consent means freely agreeing to activity. If someone is pressured or forced, it is not consent. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0066,Harassment & Consent,What to do if someone touches me without permission?,What to do if someone touches me without permission ?,"Tell a trusted adult, document evidence, and seek support; it is not your fault.","Tell a trusted adult, document evidence, and seek support; it is not your fault. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0067,Harassment & Consent,Can boys be victims of harassment?,Can boys be victims of harassment ?,"Yes, anyone can be a victim; support and reporting are important for everyone.","Yes, anyone can be a victim; support and reporting are important for everyone. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0068,Harassment & Consent,How to report harassment in school?,How to report harassment in school ?,"Tell a teacher, school counselor, or use school reporting mechanisms; ask for confidentiality.","Tell a teacher, school counselor, or use school reporting mechanisms; ask for confidentiality. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0069,Harassment & Consent,Is online harassment the same as in-person?,Is online harassment the same as in-person ?,"Yes, online harassment can be damaging; save messages and report to platform and authorities.","Yes, online harassment can be damaging; save messages and report to platform and authorities. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0070,Harassment & Consent,Can family members be reported for abuse?,Can family members be reported for abuse ?,"Yes. Seek help from trusted adults, NGOs, or helplines; safety planning is important.","Yes. Seek help from trusted adults, NGOs, or helplines; safety planning is important. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0071,Harassment & Consent,What is grooming?,What is grooming ?,Grooming is when an adult builds trust to exploit a young person; report suspicious behavior.,Grooming is when an adult builds trust to exploit a young person; report suspicious behavior. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0072,Harassment & Consent,How to keep evidence after harassment?,How to keep evidence after harassment ?,"Save messages, take screenshots, and record dates and times. Share with authorities when safe.","Save messages, take screenshots, and record dates and times. Share with authorities when safe. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0073,Harassment & Consent,What support is available after assault?,What support is available after assault ?,"Medical, legal, and counseling services are available; reach out to NGOs and hotlines for help.","Medical, legal, and counseling services are available; reach out to NGOs and hotlines for help. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0074,Harassment & Consent,How to support a friend who was assaulted?,How to support a friend who was assaulted ?,"Listen without judgment, encourage medical help, and offer to accompany them to services.","Listen without judgment, encourage medical help, and offer to accompany them to services. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0075,Harassment & Consent,Can I get legal help without going to police?,Can I get legal help without going to police ?,"Yes, NGOs and legal aid organizations can provide support and represent survivors.","Yes, NGOs and legal aid organizations can provide support and represent survivors. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0076,Harassment & Consent,What if the harasser is a teacher or authority?,What if the harasser is a teacher or authority ?,"Seek trusted adults outside the school, NGOs, or legal support; prioritize your safety and confidentiality.","Seek trusted adults outside the school, NGOs, or legal support; prioritize your safety and confidentiality. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0077,Digital Safety,What if someone asks me for nude photos?,What if someone asks me for nude photos ?,"Do not send. Save messages, block the person, and report. Seek help if you feel threatened.","Do not send. Save messages, block the person, and report. Seek help if you feel threatened. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0078,Digital Safety,How to create a safe password?,How to create a safe password ?,"Use long, unique passwords and enable two-factor authentication where possible.","Use long, unique passwords and enable two-factor authentication where possible. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
